model,prompt_family,init_type,condition_type,fact_type,coarse_group,rank,half_life,final_survival
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,TASK_STATE,1,7,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,TASK_STATE,2,7,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,NARRATIVE,3,7,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,7,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,EXECUTABLE,5,7,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,EXECUTABLE,6,7,0.6666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,EXECUTABLE,7,6,0.5
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,NARRATIVE,8,4,0.5
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,9,2,0.26666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,EXECUTABLE,10,2,0.14814814814814814
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,11,1,0.08333333333333333
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,1,7,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,2,7,0.8333333333333334
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,3,7,0.6666666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,4,7,0.6428571428571429
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,5,7,0.5833333333333334
minimax,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,6,7,0.5625
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,7,5,0.4375
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,8,4,0.45
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,9,1,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,10,1,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,1,7,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,TASK_STATE,2,7,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,TASK_STATE,3,7,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,7,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,5,7,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,EXECUTABLE,6,7,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,7,0.85
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,EXECUTABLE,8,7,0.8333333333333334
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,EXECUTABLE,9,3,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,NARRATIVE,10,2,0.5
minimax,general_task_aware,NARRATIVE_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,1,7,1.0
minimax,general_task_aware,NARRATIVE_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,2,7,0.75
minimax,general_task_aware,NARRATIVE_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,3,7,0.6666666666666666
minimax,general_task_aware,NARRATIVE_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,4,7,0.5833333333333334
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,5,4,0.5
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,6,4,0.0
minimax,general_task_aware,NARRATIVE_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,3,0.3
minimax,general_task_aware,NARRATIVE_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,8,1,0.35714285714285715
minimax,general_task_aware,NARRATIVE_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,9,1,0.1875
minimax,general_task_aware,NARRATIVE_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,10,1,0.0
minimax,general_task_aware,RAW_FULL,needed,ENVIRONMENT_STATE,TASK_STATE,1,7,1.0
minimax,general_task_aware,RAW_FULL,needed,NARRATIVE_GOAL,NARRATIVE,2,7,1.0
minimax,general_task_aware,RAW_FULL,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,3,7,0.9166666666666666
minimax,general_task_aware,RAW_FULL,needed,EXACT_IDENTIFIER,EXECUTABLE,4,7,0.8571428571428571
minimax,general_task_aware,RAW_FULL,needed,COMPLETED_SUBTASK,TASK_STATE,5,7,0.6666666666666666
minimax,general_task_aware,RAW_FULL,needed,RUNTIME_VARIABLE,EXECUTABLE,6,7,0.6428571428571429
minimax,general_task_aware,RAW_FULL,needed,ACTION_OUTCOME,EXECUTABLE,7,7,0.6153846153846154
minimax,general_task_aware,RAW_FULL,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,8,5,0.46
minimax,general_task_aware,RAW_FULL,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,9,3,0.3170731707317073
minimax,general_task_aware,RAW_FULL,needed,NARRATIVE_PROGRESS,NARRATIVE,10,1,0.3333333333333333
minimax,general_task_aware,RAW_FULL,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,11,1,0.2
minimax,general_task_aware,RAW_FULL,unneeded,EXACT_IDENTIFIER,EXECUTABLE,1,7,0.6875
minimax,general_task_aware,RAW_FULL,unneeded,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,2,7,0.6666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,NARRATIVE_GOAL,NARRATIVE,3,3,1.0
minimax,general_task_aware,RAW_FULL,unneeded,ENVIRONMENT_STATE,TASK_STATE,4,3,0.0
minimax,general_task_aware,RAW_FULL,unneeded,COMPLETED_SUBTASK,TASK_STATE,5,2,0.6666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,EXECUTABLE,6,2,0.46153846153846156
minimax,general_task_aware,RAW_FULL,unneeded,API_SCHEMA_OR_PARAMETER,EXECUTABLE,7,2,0.4074074074074074
minimax,general_task_aware,RAW_FULL,unneeded,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,8,2,0.26666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,NARRATIVE_PROGRESS,NARRATIVE,9,1,0.25
minimax,general_task_aware,RAW_FULL,unneeded,ACTION_OUTCOME,EXECUTABLE,10,1,0.1111111111111111
minimax,general_task_aware,RAW_FULL,unneeded,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,11,1,0.08333333333333333
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,TASK_STATE,1,7,1.0
qwen,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,EXECUTABLE,2,7,0.6875
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,EXECUTABLE,3,7,0.5555555555555556
qwen,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,TASK_STATE,4,2,0.6666666666666666
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,5,2,0.5
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,NARRATIVE,6,1,0.5
qwen,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,1,0.3
qwen,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,EXECUTABLE,8,1,0.2962962962962963
qwen,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,EXECUTABLE,9,1,0.2692307692307692
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,10,1,0.16666666666666666
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,NARRATIVE,11,1,0.0
qwen,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,1,7,1.0
qwen,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,2,7,0.95
qwen,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,3,7,0.9285714285714286
qwen,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,4,7,0.9166666666666666
qwen,general_task_aware,DETAIL_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,5,7,0.8333333333333334
qwen,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,6,7,0.75
qwen,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,7,7,0.6875
qwen,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,8,6,0.3333333333333333
qwen,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,9,2,0.5
qwen,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,10,1,0.5
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,TASK_STATE,1,7,1.0
qwen,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,EXECUTABLE,2,7,1.0
qwen,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,3,7,0.9285714285714286
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,4,7,0.875
qwen,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,EXECUTABLE,5,7,0.875
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,7,0.8333333333333334
qwen,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,7,0.75
qwen,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,TASK_STATE,8,7,0.6666666666666666
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,EXECUTABLE,9,6,0.5
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,NARRATIVE,10,1,0.5
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,1,7,1.0
qwen,general_task_aware,NARRATIVE_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,2,7,0.6666666666666666
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,3,7,0.6666666666666666
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,4,3,0.75
qwen,general_task_aware,NARRATIVE_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,5,2,0.6666666666666666
qwen,general_task_aware,NARRATIVE_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,6,1,0.5
qwen,general_task_aware,NARRATIVE_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,7,1,0.35714285714285715
qwen,general_task_aware,NARRATIVE_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,8,1,0.35
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,9,1,0.1875
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,10,0,0.0
qwen,general_task_aware,RAW_FULL,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,1,7,0.6666666666666666
qwen,general_task_aware,RAW_FULL,needed,EXACT_IDENTIFIER,EXECUTABLE,2,7,0.6071428571428571
qwen,general_task_aware,RAW_FULL,needed,RUNTIME_VARIABLE,EXECUTABLE,3,7,0.5476190476190477
qwen,general_task_aware,RAW_FULL,needed,ACTION_OUTCOME,EXECUTABLE,4,7,0.5384615384615384
qwen,general_task_aware,RAW_FULL,needed,COMPLETED_SUBTASK,TASK_STATE,5,3,0.5
qwen,general_task_aware,RAW_FULL,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,6,2,0.4878048780487805
qwen,general_task_aware,RAW_FULL,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,2,0.48
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_GOAL,NARRATIVE,8,1,0.5
qwen,general_task_aware,RAW_FULL,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,9,1,0.15
qwen,general_task_aware,RAW_FULL,needed,ENVIRONMENT_STATE,TASK_STATE,10,1,0.0
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_PROGRESS,NARRATIVE,11,1,0.0
qwen,general_task_aware,RAW_FULL,unneeded,ACTION_OUTCOME,EXECUTABLE,1,7,0.6666666666666666
qwen,general_task_aware,RAW_FULL,unneeded,EXACT_IDENTIFIER,EXECUTABLE,2,3,0.375
qwen,general_task_aware,RAW_FULL,unneeded,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,3,2,0.5
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_GOAL,NARRATIVE,4,1,0.5
qwen,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,EXECUTABLE,5,1,0.38461538461538464
qwen,general_task_aware,RAW_FULL,unneeded,COMPLETED_SUBTASK,TASK_STATE,6,1,0.3333333333333333
qwen,general_task_aware,RAW_FULL,unneeded,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,1,0.26666666666666666
qwen,general_task_aware,RAW_FULL,unneeded,API_SCHEMA_OR_PARAMETER,EXECUTABLE,8,1,0.18518518518518517
qwen,general_task_aware,RAW_FULL,unneeded,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,9,1,0.041666666666666664
qwen,general_task_aware,RAW_FULL,unneeded,ENVIRONMENT_STATE,TASK_STATE,10,1,0.0
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_PROGRESS,NARRATIVE,11,1,0.0
