model,prompt_family,budget_chars,fact_type,coarse_group,n_needed,n_unneeded,retain_needed,retain_unneeded,delta_need,score_needed,score_unneeded,delta_need_score,ci_low,ci_high
minimax,general_task_agnostic,1500,ACTION_OUTCOME,EXECUTABLE,11,11,0.9090909090909091,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.0,-0.2727272727272727,0.2727272727272727
minimax,general_task_agnostic,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,35,0.7428571428571429,0.7428571428571429,0.0,0.7428571428571429,0.7428571428571429,0.0,-0.2,0.17142857142857143
minimax,general_task_agnostic,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,39,0.8717948717948718,0.8717948717948718,0.0,0.8717948717948718,0.8717948717948718,0.0,-0.15384615384615385,0.15384615384615385
minimax,general_task_agnostic,1500,ENVIRONMENT_STATE,TASK_STATE,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_agnostic,1500,EXACT_IDENTIFIER,EXECUTABLE,13,13,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_agnostic,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_agnostic,1500,NARRATIVE_GOAL,NARRATIVE,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_agnostic,1500,NARRATIVE_PROGRESS,NARRATIVE,3,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_agnostic,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,20,0.25,0.25,0.0,0.25,0.25,0.0,-0.30000000000000004,0.3
minimax,general_task_agnostic,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_agnostic,1500,RUNTIME_VARIABLE,EXECUTABLE,17,17,0.9411764705882353,0.9411764705882353,0.0,0.9411764705882353,0.9411764705882353,0.0,-0.17647058823529416,0.17647058823529416
minimax,general_task_aware,1500,ACTION_OUTCOME,EXECUTABLE,11,11,1.0,0.6363636363636364,0.36363636363636365,1.0,0.6363636363636364,0.36363636363636365,0.09090909090909094,0.6363636363636364
minimax,general_task_aware,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,35,0.8285714285714286,0.6285714285714286,0.20000000000000007,0.8285714285714286,0.64,0.1885714285714286,0.0,0.4
minimax,general_task_aware,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,39,0.9487179487179487,0.7435897435897436,0.20512820512820507,0.9487179487179487,0.7538461538461538,0.19487179487179485,0.05128205128205132,0.3589743589743589
minimax,general_task_aware,1500,ENVIRONMENT_STATE,TASK_STATE,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_aware,1500,EXACT_IDENTIFIER,EXECUTABLE,13,13,0.9230769230769231,0.9230769230769231,0.0,0.9230769230769231,0.9230769230769231,0.0,-0.23076923076923073,0.23076923076923073
minimax,general_task_aware,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_aware,1500,NARRATIVE_GOAL,NARRATIVE,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,general_task_aware,1500,NARRATIVE_PROGRESS,NARRATIVE,3,3,1.0,0.3333333333333333,0.6666666666666667,1.0,0.4666666666666666,0.5333333333333334,0.0,1.0
minimax,general_task_aware,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,20,0.1,0.05,0.05,0.13999999999999999,0.05,0.08999999999999998,-0.1,0.2
minimax,general_task_aware,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,4,1.0,0.75,0.25,1.0,0.75,0.25,0.0,0.75
minimax,general_task_aware,1500,RUNTIME_VARIABLE,EXECUTABLE,17,17,0.8235294117647058,0.8235294117647058,0.0,0.8235294117647058,0.8088235294117647,0.014705882352941124,-0.26617647058823524,0.23529411764705876
qwen,general_task_agnostic,1500,ACTION_OUTCOME,EXECUTABLE,11,11,0.7272727272727273,0.7272727272727273,0.0,0.7272727272727273,0.7272727272727273,0.0,-0.36363636363636365,0.36363636363636365
qwen,general_task_agnostic,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,35,0.34285714285714286,0.34285714285714286,0.0,0.34285714285714286,0.34285714285714286,0.0,-0.2,0.22857142857142856
qwen,general_task_agnostic,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,39,0.5128205128205128,0.5128205128205128,0.0,0.5128205128205128,0.5128205128205128,0.0,-0.23076923076923073,0.218589743589743
qwen,general_task_agnostic,1500,ENVIRONMENT_STATE,TASK_STATE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,general_task_agnostic,1500,EXACT_IDENTIFIER,EXECUTABLE,13,13,0.46153846153846156,0.5384615384615384,-0.07692307692307687,0.46153846153846156,0.5384615384615384,-0.07692307692307687,-0.46153846153846156,0.3076923076923077
qwen,general_task_agnostic,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,general_task_agnostic,1500,NARRATIVE_GOAL,NARRATIVE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,general_task_agnostic,1500,NARRATIVE_PROGRESS,NARRATIVE,3,3,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,-0.6666666666666667,0.6666666666666667
qwen,general_task_agnostic,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,20,0.15,0.2,-0.05000000000000002,0.15,0.2,-0.05000000000000002,-0.25,0.2
qwen,general_task_agnostic,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,4,0.5,0.5,0.0,0.5,0.5,0.0,-0.6312499999999996,0.75
qwen,general_task_agnostic,1500,RUNTIME_VARIABLE,EXECUTABLE,17,17,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,-0.17647058823529413,0.1764705882352941
qwen,general_task_aware,1500,ACTION_OUTCOME,EXECUTABLE,11,11,0.45454545454545453,0.5454545454545454,-0.09090909090909088,0.45454545454545453,0.5454545454545454,-0.09090909090909088,-0.5454545454545454,0.27272727272727276
qwen,general_task_aware,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,35,0.5428571428571428,0.5714285714285714,-0.02857142857142858,0.5428571428571428,0.5714285714285714,-0.02857142857142858,-0.2571428571428572,0.20000000000000004
qwen,general_task_aware,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,39,0.717948717948718,0.41025641025641024,0.3076923076923077,0.717948717948718,0.41025641025641024,0.3076923076923077,0.10256410256410262,0.5128205128205129
qwen,general_task_aware,1500,ENVIRONMENT_STATE,TASK_STATE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,general_task_aware,1500,EXACT_IDENTIFIER,EXECUTABLE,13,13,0.6153846153846154,0.5384615384615384,0.07692307692307698,0.6153846153846154,0.5384615384615384,0.07692307692307698,-0.3076923076923077,0.4615384615384615
qwen,general_task_aware,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,general_task_aware,1500,NARRATIVE_GOAL,NARRATIVE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,general_task_aware,1500,NARRATIVE_PROGRESS,NARRATIVE,3,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.6666666666666666,0.6666666666666666
qwen,general_task_aware,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,20,0.25,0.05,0.2,0.225,0.05,0.175,0.0,0.4
qwen,general_task_aware,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,4,0.5,0.25,0.25,0.5,0.25,0.25,-0.5,0.75
qwen,general_task_aware,1500,RUNTIME_VARIABLE,EXECUTABLE,17,17,0.5882352941176471,0.4117647058823529,0.17647058823529416,0.5882352941176471,0.4117647058823529,0.17647058823529416,-0.17647058823529416,0.4705882352941177
